

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
185.903  000.394  000.394: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/rplugin.vim
186.132  000.081  000.081: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/shada.vim
186.322  000.034  000.034: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/spellfile.vim
186.616  000.145  000.145: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/tarPlugin.vim
186.900  000.119  000.119: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/tohtml.vim
187.083  000.034  000.034: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/tutor.vim
187.374  000.144  000.144: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/zipPlugin.vim
187.844  000.114  000.114: sourcing C:\Users\chris\AppData\Local\..\..\Documents\Dev\Environment\nvim-data\lazy\cmp-nvim-lsp\after/plugin/cmp_nvim_lsp.lua
188.448  000.086  000.086: require('cmp_buffer.timer')
188.454  000.182  000.097: require('cmp_buffer.buffer')
188.458  000.274  000.092: require('cmp_buffer.source')
188.461  000.368  000.093: require('cmp_buffer')
188.474  000.472  000.105: sourcing C:\Users\chris\AppData\Local\..\..\Documents\Dev\Environment\nvim-data\lazy\cmp-buffer\after/plugin/cmp_buffer.lua
188.736  000.125  000.125: sourcing C:\Users\chris\AppData\Local\..\..\Documents\Dev\Environment\nvim-data\lazy\indent-blankline.nvim\after/plugin/commands.lua
188.808  173.958  073.394: require('config')
188.812  174.006  000.048: sourcing C:\Users\chris\AppData\Local\..\..\Documents\Dev\Environment\nvim\init.lua
188.845  001.401: sourcing vimrc file(s)
191.751  000.091  000.091: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\filetype.lua
192.910  000.083  000.083: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\syntax\synload.vim
193.014  000.919  000.836: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\syntax\syntax.vim
193.035  003.179: inits 3
195.502  002.467: reading ShaDa
195.761  000.136  000.136: require('luasnip.loaders.from_lua')
195.884  000.110  000.110: require('luasnip.loaders.from_snipmate')
196.002  000.107  000.107: require('luasnip.loaders.from_vscode')
196.076  000.221: opening buffers
196.218  000.142: BufEnter autocommands
196.222  000.004: editing files in windows
207.992  000.157  000.157: require('which-key.plugins')
208.148  000.149  000.149: require('which-key.plugins.presets')
208.266  000.112  000.112: require('which-key.plugins.presets.misc')
208.417  000.107  000.107: require('which-key.plugins.spelling')
208.528  000.105  000.105: require('which-key.mappings')
208.710  000.114  000.114: require('which-key.plugins.marks')
